,avg_price
0,0.0001664881386978008
1,0.00017200400455035598
2,0.0001711761316060166
3,0.0001601453027010588
4,0.00015904235752626082
5,0.0001615242279652058
6,0.0001620756202838168
7,0.0001656607315202268
8,0.0001739344076853434
9,0.00017090044919297416
10,0.00016703949538060778
11,0.00016759089663440763
12,0.00016814266591288379
13,0.0001791742382837062
14,0.00018799889394552035
15,0.00018606870105380603
16,0.00018855081924513693
17,0.00019737587183546316
18,0.00020123651901722932
19,0.0002004095022515233
20,0.00020482177392864843
21,0.00021254344406230856
22,0.00021144020438089797
23,0.0002053733865425019
24,0.0002092264614645903
25,0.0002028257364620538
26,0.0002070002404524951
27,0.00020867008568393216
28,0.00021173091385778302
29,0.00020894799059695398
30,0.00021228751635391364
31,0.0002131227248714599
32,0.00021785350474188777
33,0.0002156271654119623
34,0.00021173093859390727
35,0.0002106176493962091
36,0.00020477381534833944
37,0.00018946783315688142
38,0.00018779762799948205
39,0.00019280701700158072
40,0.00019670349925886762
41,0.0001944767204252575
42,0.00019141543937588142
43,0.00018612807376750998
44,0.00017917051353595148
45,0.00017304798789691253
46,0.00017666628424859612
47,0.0001800058485007977
48,0.00018056232190870742
49,0.0001794490504431005
50,0.00018139721250263338
51,0.00017777928795491103
52,0.00017416139142033453
53,0.00016831713102100784
54,0.00016497788813468221
55,0.00016386478112121876
56,0.000167203658565721
57,0.00017054324928904635
58,0.00016998682054643113
59,0.0001710999952075564
60,0.00017304823984296426
61,0.0001758313237673547
62,0.00017165655009011504
63,0.00016803881219252926
64,0.000160803462460892
65,0.00015412415667774557
66,0.00014800195600880213
67,0.00015273291059821113
68,0.00014772393454390618
69,0.000141323154058635
70,0.00015022793859007438
71,0.00014327094258899473
72,0.00014104451348602925
73,0.00014215797316532194
74,0.00013770526783354057
75,0.0001410447211791833
76,0.0001480017271150249
77,0.00015662904786250645
78,0.00016191670600946754
79,0.0001566291813381818
80,0.00014633248290146526
81,0.00013659181006770633
82,0.00012963477933155448
83,0.00012963495314915468
84,0.00014160135195730758
85,0.00014354956626041766
86,0.0001410448128881841
87,0.00014187962385746756
88,0.00013596960413037544
89,0.0001266877593157747
90,0.0001241562658705217
91,0.00012415620405244112
92,0.00011487450353142514
93,0.00013428183356783722
94,0.00013062575219442593
95,0.00012612518254346674
96,0.0001244376666272082
97,0.00012218736210438825
98,0.0001148745054510454
99,0.00010306108733757534
100,8.759147769644544e-05
101,8.196641203786648e-05
102,6.340216207629607e-05
103,7.634047058477967e-05
104,0.00011065563244250129
105,0.00010953041259445623
106,9.237279443474903e-05
107,9.349804281557234e-05
108,0.00010868651270744607
109,0.00010503013723450198
110,0.00010306122135351018
111,9.602926490835453e-05
112,8.927930251302979e-05
113,8.196611568003176e-05
114,7.212124622787303e-05
115,7.57778690098955e-05
116,8.899777052294687e-05
117,8.871622353189264e-05
118,9.068529499779582e-05
119,8.055959707702466e-05
120,6.593372263803961e-05
121,6.255852688266322e-05
122,6.874638011974179e-05
123,6.818386887821545e-05
124,7.915332205474844e-05
125,8.618486993074364e-05
126,9.012275237051829e-05
127,9.49043892619128e-05
128,9.884208201137622e-05
129,9.06852000699393e-05
130,8.590368463181983e-05
131,9.602942312027743e-05
132,9.462297308907324e-05
133,9.546680784626857e-05
134,9.377924742317613e-05
135,8.815398304332608e-05
136,8.027817717747773e-05
137,7.409050235064282e-05
138,7.437188499815305e-05
139,7.88721345610226e-05
140,8.224757807148761e-05
141,7.690299994738103e-05
142,7.57779734617245e-05
143,7.437164554197054e-05
144,7.774706156928525e-05
145,8.309157554874631e-05
146,9.040410758208011e-05
147,9.09667597335686e-05
148,9.096662122154097e-05
149,9.068544180559075e-05
150,7.80282851363368e-05
151,6.705857045903713e-05
152,7.071515058225534e-05
153,7.240293858499013e-05
154,7.01525408307774e-05
155,7.558138096109277e-05
156,8.299027207528964e-05
157,8.783478066260373e-05
158,9.752302819918104e-05
159,0.00011376597719019295
160,0.00011262582886521469
161,0.00011006150625184367
162,0.0001120561684645687
163,0.00011319595848400186
164,0.00010664170909329336
165,0.00010037267314868787
166,9.353375583821279e-05
167,9.068384225350344e-05
168,8.754966842382681e-05
169,8.754976921418834e-05
170,8.726477954642022e-05
171,8.44150927705585e-05
172,8.527024644012607e-05
173,8.527013087569593e-05
174,8.441534839199793e-05
175,9.353375086191708e-05
176,9.58134184187637e-05
177,9.52435366069799e-05
178,9.4388639938874e-05
179,9.695314216246262e-05
180,9.096891223381328e-05
181,8.783440380179432e-05
182,8.270537507626132e-05
183,7.957111858197588e-05
184,6.788730505917166e-05
185,6.93121870201209e-05
186,7.073696400239688e-05
187,7.016679358178474e-05
188,6.817239450896755e-05
189,6.13333698174684e-05
190,6.10486841397738e-05
191,6.0763662654888055e-05
192,6.475295430111557e-05
193,7.472632388671513e-05
194,7.985581543400297e-05
195,8.099536969645344e-05
196,7.957097825342622e-05
197,7.358706677869318e-05
198,7.159181778970118e-05
199,7.301684559904777e-05
200,7.586619295060667e-05
201,7.187727105397888e-05
202,6.731773310989243e-05
203,6.133369346230627e-05
204,5.9908456118588255e-05
205,6.731782636654876e-05
206,6.90273739271707e-05
207,7.216189410806833e-05
208,6.674770269051618e-05
209,6.503824006320175e-05
210,6.361304184314818e-05
211,6.9312335603158e-05
212,7.01674753292647e-05
213,7.529635427111794e-05
214,7.843430074838898e-05
215,7.266138327086156e-05
216,8.305265352371892e-05
217,0.00010037137402745944
218,0.00010354646982557428
219,9.517582965892997e-05
220,0.00010008280661579808
221,0.00011047421720198505
222,0.00011018550357208135
223,0.00010787633164085706
224,0.0001061441483911554
225,0.00010383483157822513
226,0.00010614441319994116
227,8.074377614580432e-05
228,8.10323706955733e-05
229,7.872298942177147e-05
230,8.016638341782458e-05
231,8.059943274615409e-05
232,7.901169400876585e-05
233,8.160945552590088e-05
234,8.593891201325984e-05
235,8.536193198971107e-05
236,8.3630118303791e-05
237,7.930058538689861e-05
238,7.699140731234384e-05
239,7.785702616711835e-05
240,7.641367872790999e-05
241,7.497057347999706e-05
242,7.09296500140639e-05
243,6.284747179684166e-05
244,6.082694052007565e-05
245,6.457935262631803e-05
246,6.486786688589875e-05
247,6.515659413266137e-05
248,6.717721688409927e-05
249,6.631121398234277e-05
250,6.342483046266284e-05
251,6.313606588953135e-05
252,6.515661970311956e-05
253,6.977498063734609e-05
254,7.583673884112674e-05
255,7.670270256793653e-05
256,7.525929162005665e-05
257,7.150688268660416e-05
258,6.429069339591184e-05
259,6.977497232889944e-05
260,7.958916311140389e-05
261,8.103205481241026e-05
262,7.641363971560466e-05
263,7.641396684945846e-05
264,8.016637566732391e-05
265,8.045508814328128e-05
266,8.651647730593289e-05
267,8.6516544457546e-05
268,8.276426662110736e-05
269,7.84344353411072e-05
270,7.901157404985896e-05
271,7.641364485989092e-05
272,7.612509078644269e-05
273,7.93004197478571e-05
274,8.5939345113216e-05
275,8.911446521064891e-05
276,8.651635188404478e-05
277,9.029087006466306e-05
278,8.941402653195413e-05
279,8.736764837779551e-05
280,8.941402653195413e-05
281,8.765995746675667e-05
282,8.765981351112569e-05
283,8.561339264679207e-05
284,8.298256260673229e-05
285,8.29826516512498e-05
286,7.830539532740416e-05
287,7.392065115284318e-05
288,7.275145154787878e-05
289,7.80130973995727e-05
290,8.619829336207121e-05
291,8.912146850726532e-05
292,8.093615178563836e-05
293,7.97670124793332e-05
294,8.210556845220409e-05
295,8.269042181012904e-05
296,8.064392217313039e-05
