,avg_price
0,0.00014852258378246312
1,0.00014852258378246312
2,0.00012377056189240626
3,0.00012377056189240626
4,0.00012377056189240626
5,0.00012377056189240626
6,0.00018565410581723653
7,0.00018565410581723653
8,0.00018565410581723653
9,0.0001608986816129902
10,0.0001608986816129902
11,0.0001608986816129902
12,0.0001608986816129902
13,0.00014852258378246312
14,0.00014852258378246312
15,0.00014852258378246312
16,0.00014852258378246312
17,0.00014852258378246312
18,0.00014852258378246312
19,0.00014852258378246312
20,0.00014852258378246312
21,0.00014852258378246312
22,0.00014852258378246312
23,0.00014852258378246312
24,0.00014852258378246312
25,0.00014852258378246312
26,0.00014852258378246312
27,0.00014852258378246312
28,0.00014233294729364666
29,0.00014233294729364666
30,0.00014233294729364666
31,0.00014233294729364666
32,0.00011758092328403314
33,0.00011758092328403314
34,0.00011139287815151892
35,0.00011139287815151892
36,0.00011139287815151892
37,0.00010520483301900447
38,0.00010520483301900447
39,0.00010520483301900447
40,0.00010520483301900447
41,0.00010520483301900447
42,0.00010520483301900447
43,0.00010520483301900447
44,0.00010520483301900447
45,8.044932526127317e-05
46,8.044932526127317e-05
47,8.044932526127317e-05
48,8.044932526127317e-05
49,0.000210406260163879
50,4.950916176992465e-05
51,4.950916176992465e-05
52,3.713147924894153e-05
53,3.713147924894153e-05
54,3.713147924894153e-05
55,3.713147924894153e-05
56,3.713147924894153e-05
57,3.713147924894153e-05
58,3.713147924894153e-05
59,3.713147924894153e-05
60,3.713147924894153e-05
61,3.713147924894153e-05
62,3.713147924894153e-05
63,3.713147924894153e-05
64,3.713147924894153e-05
65,2.4752160721521205e-05
66,1.8564116843245264e-05
67,6.188056110723979e-06
68,0.0
69,6.188056110723979e-06
70,6.188056110723979e-06
71,6.188056110723979e-06
72,6.188056110723979e-06
73,6.188056110723979e-06
74,1.8564116843245264e-05
75,1.8564116843245264e-05
76,1.2376061161446765e-05
77,1.8564116843245264e-05
78,1.8564116843245264e-05
79,1.8564116843245264e-05
80,1.8564116843245264e-05
81,1.8564116843245264e-05
82,1.8564116843245264e-05
83,1.8564116843245264e-05
84,1.8564116843245264e-05
85,1.8564116843245264e-05
86,1.8564116843245264e-05
87,1.8564116843245264e-05
88,1.8564116843245264e-05
89,1.8564116843245264e-05
90,1.8564116843245264e-05
91,1.2376061161446765e-05
92,1.8564116843245264e-05
93,1.8564116843245264e-05
94,1.2376061161446765e-05
95,1.2376061161446765e-05
96,1.2376061161446765e-05
97,0.0001361433716467236
98,1.2376061161446765e-05
99,0.0001361433716467236
100,1.2376061161446765e-05
101,1.2376061161446765e-05
102,0.0001361433716467236
103,1.2376061161446765e-05
104,1.2376061161446765e-05
105,1.8564116843245264e-05
106,1.8564116843245264e-05
107,1.8564116843245264e-05
108,1.8564116843245264e-05
109,1.8564116843245264e-05
110,1.2376061161446765e-05
111,1.2376061161446765e-05
112,1.2376061161446765e-05
113,1.2376061161446765e-05
114,0.0001361433716467236
115,1.2376061161446765e-05
116,1.2376061161446765e-05
117,1.2376061161446765e-05
118,1.2376061161446765e-05
119,1.2376061161446765e-05
120,1.2376061161446765e-05
121,1.2376061161446765e-05
122,1.2376061161446765e-05
123,1.2376061161446765e-05
124,1.2376061161446765e-05
125,1.2376061161446765e-05
126,1.2376061161446765e-05
127,1.2376061161446765e-05
128,1.2376061161446765e-05
129,1.2376061161446765e-05
130,1.2376061161446765e-05
131,1.2376061161446765e-05
132,1.2376061161446765e-05
133,1.2376061161446765e-05
134,1.2376061161446765e-05
135,3.094343472630099e-05
136,3.094343472630099e-05
137,3.713147924894153e-05
138,4.950916176992465e-05
139,7.426127019546074e-05
140,8.663736852356438e-05
141,8.663736852356438e-05
142,8.663736852356438e-05
143,8.663736852356438e-05
144,8.663736852356438e-05
145,7.426127019546074e-05
146,7.426127019546074e-05
147,7.426127019546074e-05
148,7.426127019546074e-05
149,7.426127019546074e-05
150,7.426127019546074e-05
151,7.426127019546074e-05
152,7.426127019546074e-05
153,8.663736852356438e-05
154,7.426127019546074e-05
155,7.426127019546074e-05
156,7.426127019546074e-05
157,7.426127019546074e-05
158,7.426127019546074e-05
159,7.426127019546074e-05
160,7.426127019546074e-05
161,0.00011139287815151892
162,0.00010520483301900447
163,0.00010520483301900447
164,0.00011139287815151892
165,0.00011139287815151892
166,0.00011139287815151892
167,0.00011139287815151892
168,0.00011139287815151892
169,0.00011139287815151892
170,0.00011139287815151892
171,0.00011139287815151892
172,7.426127019546074e-05
173,7.426127019546074e-05
174,7.426127019546074e-05
175,8.044932526127317e-05
176,8.044932526127317e-05
177,7.426127019546074e-05
178,7.426127019546074e-05
179,7.426127019546074e-05
180,7.426127019546074e-05
181,7.426127019546074e-05
182,7.426127019546074e-05
183,7.426127019546074e-05
184,7.426127019546074e-05
185,1.2376100417924674e-05
186,1.2376100417924674e-05
187,0.0
188,6.188056110723979e-06
189,6.188056110723979e-06
190,0.00011139123044981368
191,6.188056110723979e-06
192,6.188056110723979e-06
193,1.8564116843245264e-05
194,1.8564116843245264e-05
195,1.8564116843245264e-05
196,1.2376061161446765e-05
197,1.2376061161446765e-05
198,1.2376061161446765e-05
199,1.8564116843245264e-05
200,0.0001361433716467236
201,3.094343472630099e-05
202,3.094343472630099e-05
203,3.094343472630099e-05
204,3.094343472630099e-05
